geo_code,geo_label,geo_role,all_enterprises_2024_percent,all_enterprises_2025_percent,change_2024_2025_percentage_points,small_2025_percent,medium_2025_percent,large_2025_percent,large_minus_small_2025_percentage_points,source_status_flags
EU27_2020,European Union - 27 countries (from 2020),eu27_aggregate,6.88,11.75,4.87,9.87,18.22,35.04,25.17,
BE,Belgium,eu27_member,15.14,23.01,7.87,18.46,38.26,59.01,40.55,
BG,Bulgaria,eu27_member,3.93,4.97,1.04,4.24,7.42,14.66,10.42,
CZ,Czechia,eu27_member,6.36,7.15,0.79,4.67,13.02,31.62,26.95,
DK,Denmark,eu27_member,16.69,29.10,12.41,25.92,39.28,57.35,31.43,
DE,Germany,eu27_member,9.57,13.50,3.93,11.84,18.72,32.28,20.44,
EE,Estonia,eu27_member,7.82,12.02,4.20,11.04,15.14,25.81,14.77,
IE,Ireland,eu27_member,6.38,10.52,4.14,8.75,15.49,34.29,25.54,
EL,Greece,eu27_member,3.66,6.09,2.43,5.12,9.97,22.45,17.33,
ES,Spain,eu27_member,5.05,10.05,5.00,8.11,16.00,34.26,26.15,
FR,France,eu27_member,4.40,10.23,5.83,7.91,18.94,42.72,34.81,
HR,Croatia,eu27_member,7.73,9.76,2.03,8.45,15.65,21.52,13.07,
IT,Italy,eu27_member,4.47,11.61,7.14,9.88,20.27,42.30,32.42,
CY,Cyprus,eu27_member,3.22,5.95,2.73,4.96,9.96,21.52,16.56,
LV,Latvia,eu27_member,5.83,9.13,3.30,7.51,14.41,30.49,22.98,
LT,Lithuania,eu27_member,6.35,15.96,9.61,13.20,24.20,39.25,26.05,
LU,Luxembourg,eu27_member,17.59,25.04,7.45,22.98,31.20,43.43,20.45,
HU,Hungary,eu27_member,3.32,5.31,1.99,4.47,7.58,21.41,16.94,
MT,Malta,eu27_member,6.59,11.97,5.38,10.52,16.59,21.04,10.52,
NL,Netherlands,eu27_member,14.14,22.93,8.79,20.02,31.21,47.69,27.67,
AT,Austria,eu27_member,13.13,21.92,8.79,19.12,32.70,50.71,31.59,
PL,Poland,eu27_member,1.49,2.10,0.61,1.47,3.34,12.55,11.08,
PT,Portugal,eu27_member,4.15,6.86,2.71,5.83,9.71,27.57,21.74,
RO,Romania,eu27_member,1.86,3.57,1.71,2.79,5.36,15.05,12.26,
SI,Slovenia,eu27_member,4.54,14.17,9.63,12.09,21.11,38.32,26.23,
SK,Slovakia,eu27_member,5.97,10.37,4.40,8.80,13.56,27.60,18.80,
FI,Finland,eu27_member,15.37,28.49,13.12,24.55,40.38,68.67,44.12,
SE,Sweden,eu27_member,15.62,25.84,10.22,22.51,37.13,54.23,31.72,
TR,Türkiye,comparison_country,2.35,3.14,0.79,2.78,3.81,10.95,8.17,
