geo_code,geo_label,geo_role,year,size_code,size_label,indicator_code,indicator_label,nace_r2_code,nace_r2_label,unit_code,unit_label,value_percent,status,status_label
EU27_2020,European Union - 27 countries (from 2020),eu27_aggregate,2024,GE10,10 persons employed or more,E_AI_TTM,Enterprises using AI technologies performing analysis of written language (text mining),C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",PC_ENT,Percentage of enterprises,6.88,,
EU27_2020,European Union - 27 countries (from 2020),eu27_aggregate,2025,GE10,10 persons employed or more,E_AI_TTM,Enterprises using AI technologies performing analysis of written language (text mining),C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",PC_ENT,Percentage of enterprises,11.75,,
EU27_2020,European Union - 27 countries (from 2020),eu27_aggregate,2024,10-49,From 10 to 49 persons employed,E_AI_TTM,Enterprises using AI technologies performing analysis of written language (text mining),C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",PC_ENT,Percentage of enterprises,5.76,,
EU27_2020,European Union - 27 countries (from 2020),eu27_aggregate,2025,10-49,From 10 to 49 persons employed,E_AI_TTM,Enterprises using AI technologies performing analysis of written language (text mining),C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",PC_ENT,Percentage of enterprises,9.87,,
EU27_2020,European Union - 27 countries (from 2020),eu27_aggregate,2024,50-249,From 50 to 249 persons employed,E_AI_TTM,Enterprises using AI technologies performing analysis of written language (text mining),C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",PC_ENT,Percentage of enterprises,10.38,,
EU27_2020,European Union - 27 countries (from 2020),eu27_aggregate,2025,50-249,From 50 to 249 persons employed,E_AI_TTM,Enterprises using AI technologies performing analysis of written language (text mining),C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",PC_ENT,Percentage of enterprises,18.22,,
EU27_2020,European Union - 27 countries (from 2020),eu27_aggregate,2024,GE250,250 persons employed or more,E_AI_TTM,Enterprises using AI technologies performing analysis of written language (text mining),C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",PC_ENT,Percentage of enterprises,21.44,,
EU27_2020,European Union - 27 countries (from 2020),eu27_aggregate,2025,GE250,250 persons employed or more,E_AI_TTM,Enterprises using AI technologies performing analysis of written language (text mining),C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",PC_ENT,Percentage of enterprises,35.04,,
BE,Belgium,eu27_member,2024,GE10,10 persons employed or more,E_AI_TTM,Enterprises using AI technologies performing analysis of written language (text mining),C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",PC_ENT,Percentage of enterprises,15.14,,
BE,Belgium,eu27_member,2025,GE10,10 persons employed or more,E_AI_TTM,Enterprises using AI technologies performing analysis of written language (text mining),C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",PC_ENT,Percentage of enterprises,23.01,,
