period,annual_rate_percent
2016-09,7.28
2016-10,7.16
2016-11,7
2016-12,8.53
2017-01,9.22
2017-02,10.13
2017-03,11.29
2017-04,11.87
2017-05,11.72
2017-06,10.9
2017-07,9.79
2017-08,10.68
2017-09,11.2
2017-10,11.9
2017-11,12.98
2017-12,11.92
2018-01,10.35
2018-02,10.26
2018-03,10.23
2018-04,10.85
2018-05,12.15
2018-06,15.39
2018-07,15.85
2018-08,17.9
2018-09,24.52
2018-10,25.24
2018-11,21.62
2018-12,20.3
2019-01,20.35
2019-02,19.67
2019-03,19.71
2019-04,19.5
2019-05,18.71
2019-06,15.72
2019-07,16.65
2019-08,15.01
2019-09,9.26
2019-10,8.55
2019-11,10.56
2019-12,11.84
2020-01,12.15
2020-02,12.37
2020-03,11.86
2020-04,10.94
2020-05,11.39
2020-06,12.62
2020-07,11.76
2020-08,11.77
2020-09,11.75
2020-10,11.89
2020-11,14.03
2020-12,14.6
2021-01,14.97
2021-02,15.61
2021-03,16.19
2021-04,17.14
2021-05,16.59
2021-06,17.53
2021-07,18.95
2021-08,19.25
2021-09,19.58
2021-10,19.89
2021-11,21.31
2021-12,36.08
2022-01,48.69
2022-02,54.44
2022-03,61.14
2022-04,69.97
2022-05,73.5
2022-06,78.62
2022-07,79.6
2022-08,80.21
2022-09,83.45
2022-10,85.51
2022-11,84.39
2022-12,64.27
2023-01,57.68
2023-02,55.18
2023-03,50.51
2023-04,43.68
2023-05,39.59
2023-06,38.21
2023-07,47.83
2023-08,58.94
2023-09,61.53
2023-10,61.36
2023-11,61.98
2023-12,64.77
2024-01,64.86
2024-02,67.07
2024-03,68.5
2024-04,69.8
2024-05,75.45
2024-06,71.6
2024-07,61.78
2024-08,51.97
2024-09,49.38
2024-10,48.58
2024-11,47.09
2024-12,44.38
2025-01,42.12
2025-02,39.05
2025-03,38.1
2025-04,37.86
2025-05,35.41
2025-06,35.05
2025-07,33.52
2025-08,32.95
2025-09,33.29
2025-10,32.87
2025-11,31.07
2025-12,30.89
2026-01,30.65
2026-02,31.53
2026-03,30.87
2026-04,32.37
2026-05,32.61
2026-06,32.11
2026-07,31.75
2026-08,31.51
