year,indicator_code,indicator_label_tr,value_children_per_woman,obs_status
2007,NG_TDH,Toplam Doğurganlık Hızı (Çocuk Sayısı),2.16,A
2008,NG_TDH,Toplam Doğurganlık Hızı (Çocuk Sayısı),2.15,A
2009,NG_TDH,Toplam Doğurganlık Hızı (Çocuk Sayısı),2.0998985555,A
2010,NG_TDH,Toplam Doğurganlık Hızı (Çocuk Sayısı),2.0801795493,A
2011,NG_TDH,Toplam Doğurganlık Hızı (Çocuk Sayısı),2.0471922942,A
2012,NG_TDH,Toplam Doğurganlık Hızı (Çocuk Sayısı),2.1086104085,A
2013,NG_TDH,Toplam Doğurganlık Hızı (Çocuk Sayısı),2.1068113965,A
2014,NG_TDH,Toplam Doğurganlık Hızı (Çocuk Sayısı),2.1861791156,A
2015,NG_TDH,Toplam Doğurganlık Hızı (Çocuk Sayısı),2.157089914,A
2016,NG_TDH,Toplam Doğurganlık Hızı (Çocuk Sayısı),2.1148359494,A
2017,NG_TDH,Toplam Doğurganlık Hızı (Çocuk Sayısı),2.0817960144,A
2018,NG_TDH,Toplam Doğurganlık Hızı (Çocuk Sayısı),2.0047304966,A
2019,NG_TDH,Toplam Doğurganlık Hızı (Çocuk Sayısı),1.8889958893,A
2020,NG_TDH,Toplam Doğurganlık Hızı (Çocuk Sayısı),1.7720122520027,R
2021,NG_TDH,Toplam Doğurganlık Hızı (Çocuk Sayısı),1.7121262772647,R
2022,NG_TDH,Toplam Doğurganlık Hızı (Çocuk Sayısı),1.6344013632694,R
2023,NG_TDH,Toplam Doğurganlık Hızı (Çocuk Sayısı),1.5166618313649,R
2024,NG_TDH,Toplam Doğurganlık Hızı (Çocuk Sayısı),1.4881566134354,R
2025,NG_TDH,Toplam Doğurganlık Hızı (Çocuk Sayısı),1.4185357182807,A
