year,age_group_code,age_group_label_tr,sex_code,sex_label_tr,population_persons,obs_status
2007,Y0T4,0-4,1,Erkek,2978972,
2007,Y0T4,0-4,2,Kadın,2814934,
2007,Y5T9,5-9,1,Erkek,3303329,
2007,Y5T9,5-9,2,Kadın,3133498,
2007,Y10T14,10-14,1,Erkek,3288472,
2007,Y10T14,10-14,2,Kadın,3123186,
2007,Y15T19,15-19,1,Erkek,3159723,
2007,Y15T19,15-19,2,Kadın,2997310,
2007,Y20T24,20-24,1,Erkek,3181804,
2007,Y20T24,20-24,2,Kadın,3058769,
2007,Y25T29,25-29,1,Erkek,3295102,
2007,Y25T29,25-29,2,Kadın,3217736,
2007,Y30T34,30-34,1,Erkek,2885151,
2007,Y30T34,30-34,2,Kadın,2842548,
2007,Y35T39,35-39,1,Erkek,2565112,
2007,Y35T39,35-39,2,Kadın,2507329,
2007,Y40T44,40-44,1,Erkek,2379314,
2007,Y40T44,40-44,2,Kadın,2346486,
2007,Y45T49,45-49,1,Erkek,2057626,
2007,Y45T49,45-49,2,Kadın,2027439,
2007,Y50T54,50-54,1,Erkek,1781029,
2007,Y50T54,50-54,2,Kadın,1784640,
2007,Y55T59,55-59,1,Erkek,1369618,
2007,Y55T59,55-59,2,Kadın,1419240,
2007,Y60T64,60-64,1,Erkek,981178,
2007,Y60T64,60-64,2,Kadın,1086536,
2007,Y65T69,65-69,1,Erkek,781165,
2007,Y65T69,65-69,2,Kadın,917418,
2007,Y70T74,70-74,1,Erkek,629241,
2007,Y70T74,70-74,2,Kadın,743836,
2007,Y75T79,75-79,1,Erkek,441289,
2007,Y75T79,75-79,2,Kadın,628672,
2007,Y80T84,80-84,1,Erkek,212383,
2007,Y80T84,80-84,2,Kadın,366496,
2007,Y85T89,85-89,1,Erkek,58552,
2007,Y85T89,85-89,2,Kadın,123636,
2007,Y_GE90,90+,1,Erkek,27473,
2007,Y_GE90,90+,2,Kadın,70014,
2008,Y0T4,0-4,1,Erkek,3082338,
2008,Y0T4,0-4,2,Kadın,2915920,
2008,Y5T9,5-9,1,Erkek,3242581,
2008,Y5T9,5-9,2,Kadın,3075551,
2008,Y10T14,10-14,1,Erkek,3322041,
2008,Y10T14,10-14,2,Kadın,3150156,
2008,Y15T19,15-19,1,Erkek,3171917,
2008,Y15T19,15-19,2,Kadın,3013187,
2008,Y20T24,20-24,1,Erkek,3187625,
2008,Y20T24,20-24,2,Kadın,3068933,
2008,Y25T29,25-29,1,Erkek,3300291,
2008,Y25T29,25-29,2,Kadın,3218546,
2008,Y30T34,30-34,1,Erkek,2939518,
2008,Y30T34,30-34,2,Kadın,2870589,
2008,Y35T39,35-39,1,Erkek,2680941,
2008,Y35T39,35-39,2,Kadın,2649543,
2008,Y40T44,40-44,1,Erkek,2397706,
2008,Y40T44,40-44,2,Kadın,2342544,
2008,Y45T49,45-49,1,Erkek,2153427,
2008,Y45T49,45-49,2,Kadın,2130748,
2008,Y50T54,50-54,1,Erkek,1824582,
2008,Y50T54,50-54,2,Kadın,1818591,
2008,Y55T59,55-59,1,Erkek,1423445,
2008,Y55T59,55-59,2,Kadın,1454659,
2008,Y60T64,60-64,1,Erkek,1035261,
2008,Y60T64,60-64,2,Kadın,1153037,
2008,Y65T69,65-69,1,Erkek,783680,
2008,Y65T69,65-69,2,Kadın,917704,
2008,Y70T74,70-74,1,Erkek,575433,
2008,Y70T74,70-74,2,Kadın,699248,
2008,Y75T79,75-79,1,Erkek,492226,
2008,Y75T79,75-79,2,Kadın,618556,
2008,Y80T84,80-84,1,Erkek,213336,
2008,Y80T84,80-84,2,Kadın,357843,
2008,Y85T89,85-89,1,Erkek,59076,
2008,Y85T89,85-89,2,Kadın,116145,
2008,Y_GE90,90+,1,Erkek,15730,
2008,Y_GE90,90+,2,Kadın,44446,
2009,Y0T4,0-4,1,Erkek,3161153,
2009,Y0T4,0-4,2,Kadın,2994168,
2009,Y5T9,5-9,1,Erkek,3183784,
2009,Y5T9,5-9,2,Kadın,3017863,
2009,Y10T14,10-14,1,Erkek,3336975,
2009,Y10T14,10-14,2,Kadın,3165391,
2009,Y15T19,15-19,1,Erkek,3197293,
2009,Y15T19,15-19,2,Kadın,3037327,
2009,Y20T24,20-24,1,Erkek,3204748,
