period,count
2013-01,251952
2013-02,258638
2013-03,279918
2013-04,288686
2013-05,280979
2013-06,257954
2013-07,299654
2013-08,256404
2013-09,320588
2013-10,266102
2013-11,319482
2013-12,313079
2014-01,280228
2014-02,271395
2014-03,278448
2014-04,302628
2014-05,335092
2014-06,316418
2014-07,309522
2014-08,323850
2014-09,357426
2014-10,331985
2014-11,338614
2014-12,411455
2015-01,323203
2015-02,339167
2015-03,397957
2015-04,398224
2015-05,352002
2015-06,366568
2015-07,343015
2015-08,355527
2015-09,328417
2015-10,372382
2015-11,397421
2015-12,423078
2016-01,318997
2016-02,364639
2016-03,460932
2016-04,401110
2016-05,417190
2016-06,410074
2016-07,291545
2016-08,413565
2016-09,348869
2016-10,419013
2016-11,444618
2016-12,436521
2017-01,359843
2017-02,375010
2017-03,466556
2017-04,426221
2017-05,460078
2017-06,406256
2017-07,430141
2017-08,446653
2017-09,395744
2017-10,489520
2017-11,466068
2017-12,468068
2018-01,445255
2018-02,419533
2018-03,478648
2018-04,479866
2018-05,472478
2018-06,443151
2018-07,541226
2018-08,429606
2018-09,438784
2018-10,432074
2018-11,427626
2018-12,435240
2019-01,357926
2019-02,375577
2019-03,456674
2019-04,468217
2019-05,518368
2019-06,399916
2019-07,516730
2019-08,444290
2019-09,586534
2019-10,674379
2019-11,679150
2019-12,749700
2020-01,628765
2020-02,611314
2020-03,501921
2020-04,231977
2020-05,381708
2020-06,773260
2020-07,721519
2020-08,589426
2020-09,647573
2020-10,583983
2020-11,456110
2020-12,349599
2021-01,295756
2021-02,316722
2021-03,451956
2021-04,405351
2021-05,302320
2021-06,575336
2021-07,465721
2021-08,549004
2021-09,596395
2021-10,631072
2021-11,813548
2021-12,611862
2022-01,303354
2022-02,372156
2022-03,503040
2022-04,605162
2022-05,673167
2022-06,710088
2022-07,429378
2022-08,478053
2022-09,476502
2022-10,500691
2022-11,580271
2022-12,764329
2023-01,647852
2023-02,492985
2023-03,737443
2023-04,715113
2023-05,741828
2023-06,583627
2023-07,567274
2023-08,551474
2023-09,474248
2023-10,449265
2023-11,452347
2023-12,551244
2024-01,530744
2024-02,573508
2024-03,580492
2024-04,515415
2024-05,588886
2024-06,435828
2024-07,621748
2024-08,613752
2024-09,658566
2024-10,680849
2024-11,630035
2024-12,673727
2025-01,551610
2025-02,520697
2025-03,555093
2025-04,644473
2025-05,645718
2025-06,559842
2025-07,680114
2025-08,659915
2025-09,680684
2025-10,666842
2025-11,608924
2025-12,798616
2026-01,582180
2026-02,556805
2026-03,597104
2026-04,605480
2026-05,503057
2026-06,608484
2026-07,588504
