period,count
2013-01,92594
2013-02,93757
2013-03,103357
2013-04,100759
2013-05,109363
2013-06,102471
2013-07,112910
2013-08,89589
2013-09,107841
2013-10,80961
2013-11,109455
2013-12,123932
2014-01,93777
2014-02,87515
2014-03,93045
2014-04,89012
2014-05,95337
2014-06,99021
2014-07,90707
2014-08,112147
2014-09,123358
2014-10,102083
2014-11,110397
2014-12,144515
2015-01,91891
2015-02,101459
2015-03,120664
2015-04,124185
2015-05,112337
2015-06,115386
2015-07,100342
2015-08,116928
2015-09,96351
2015-10,108144
2015-11,110554
2015-12,151081
2016-01,88231
2016-02,107060
2016-03,124044
2016-04,112238
2016-05,120555
2016-06,112122
2016-07,85345
2016-08,120460
2016-09,116019
2016-10,138268
2016-11,140685
2016-12,152008
2017-01,100023
2017-02,107065
2017-03,135987
2017-04,120361
2017-05,122262
2017-06,102615
2017-07,122198
2017-08,127135
2017-09,153521
2017-10,130679
2017-11,130250
2017-12,140990
2018-01,103160
2018-02,101596
2018-03,116770
2018-04,109186
2018-05,128963
2018-06,126737
2018-07,131346
2018-08,111390
2018-09,135772
2018-10,160582
2018-11,95953
2018-12,146783
2019-01,77161
2019-02,83504
2019-03,114693
2019-04,103869
2019-05,97424
2019-06,64807
2019-07,107730
2019-08,116390
2019-09,155387
2019-10,154353
2019-11,148187
2019-12,215558
2020-01,120066
2020-02,125409
2020-03,114796
2020-04,45218
2020-05,55205
2020-06,204034
2020-07,244133
2020-08,181464
2020-09,145448
2020-10,127809
2020-11,125196
2020-12,119522
2021-01,75603
2021-02,88020
2021-03,120415
2021-04,102219
2021-05,65497
2021-06,145247
2021-07,115264
2021-08,151033
2021-09,157819
2021-10,152228
2021-11,192820
2021-12,243396
2022-01,93118
2022-02,103437
2022-03,145698
2022-04,150843
2022-05,132420
2022-06,161684
2022-07,99646
2022-08,131713
2022-09,124030
2022-10,127049
2022-11,130513
2022-12,225623
2023-01,102927
2023-02,84396
2023-03,111322
2023-04,92607
2023-05,133287
2023-06,90118
2023-07,117058
2023-08,132124
2023-09,110810
2023-10,106183
2023-11,100579
2023-12,148724
2024-01,84801
2024-02,99558
2024-03,111345
2024-04,80276
2024-05,118926
2024-06,82924
2024-07,132426
2024-08,139411
2024-09,146557
2024-10,171619
2024-11,159805
2024-12,222112
2025-01,117025
2025-02,117586
2025-03,115788
2025-04,123569
2025-05,135664
2025-06,112196
2025-07,148939
2025-08,149440
2025-09,156918
2025-10,170955
2025-11,146989
2025-12,265223
2026-01,111480
2026-02,124549
2026-03,113367
2026-04,126808
2026-05,93333
2026-06,129979
2026-07,123603
