year,months_observed,period_coverage_tr,passenger_car_transfers_count,comparable_prior_period_transfers_count,passenger_car_transfers_yoy_percent,average_monthly_headline_cpi_yoy_percent
2010,12,Ocak-Aralık,2631721,,,8.583333
2011,12,Ocak-Aralık,3281721,2631721,24.698667,6.451667
2012,12,Ocak-Aralık,3152010,3281721,-3.952530,8.935833
2013,12,Ocak-Aralık,3393436,3152010,7.659430,7.494167
2014,12,Ocak-Aralık,3857061,3393436,13.662406,8.852500
2015,12,Ocak-Aralık,4396961,3857061,13.997704,7.665833
2016,12,Ocak-Aralık,4727073,4396961,7.507731,7.785000
2017,12,Ocak-Aralık,5190158,4727073,9.796443,11.133333
2018,12,Ocak-Aralık,5443487,5190158,4.880950,16.221667
2019,12,Ocak-Aralık,6227461,5443487,14.402055,15.460833
2020,12,Ocak-Aralık,6477155,6227461,4.009563,12.260833
2021,12,Ocak-Aralık,6015043,6477155,-7.134490,19.424167
2022,12,Ocak-Aralık,6396191,6015043,6.336580,71.982500
2023,12,Ocak-Aralık,6964700,6396191,8.888243,53.438333
2024,12,Ocak-Aralık,7103550,6964700,1.993625,60.038333
2025,12,Ocak-Aralık,7572528,7103550,6.602023,35.181667
2026,7,Ocak-Temmuz,4041614,4157547,-2.788495,31.698571
