period,passenger_car_transfers_count,passenger_car_transfers_yoy_percent,headline_cpi_yoy_percent
2010-01,135181,,8.19
2010-02,164614,,10.13
2010-03,218573,,9.56
2010-04,238054,,10.19
2010-05,269345,,9.1
2010-06,239363,,8.37
2010-07,200298,,7.58
2010-08,206320,,8.33
2010-09,216022,,9.24
2010-10,233781,,8.62
2010-11,222581,,7.29
2010-12,287589,,6.4
2011-01,238007,76.065423,4.9
2011-02,244197,48.345220,4.16
2011-03,291440,33.337603,3.99
2011-04,288856,21.340536,4.26
2011-05,301283,11.857655,7.17
2011-06,285131,19.120750,6.24
2011-07,245739,22.686697,6.31
2011-08,254061,23.139298,6.65
2011-09,272826,26.295470,6.15
2011-10,288629,23.461274,7.66
2011-11,254140,14.178659,9.48
2011-12,317412,10.370007,10.45
2012-01,250234,5.137244,10.61
2012-02,250668,2.649910,10.43
2012-03,279066,-4.245814,10.43
2012-04,269939,-6.548938,11.14
2012-05,270256,-10.298291,8.28
2012-06,253192,-11.201518,8.87
2012-07,235663,-4.100285,9.07
2012-08,249929,-1.626381,8.88
2012-09,260801,-4.407571,9.19
2012-10,257856,-10.661784,7.8
2012-11,284214,11.833635,6.37
2012-12,290192,-8.575605,6.16
2013-01,251952,0.686557,7.31
2013-02,258638,3.179504,7.03
2013-03,279918,0.305304,7.29
2013-04,288686,6.944902,6.13
2013-05,280979,3.967719,6.51
2013-06,257954,1.880786,8.3
2013-07,299654,27.153605,8.88
2013-08,256404,2.590736,8.17
2013-09,320588,22.924375,7.88
2013-10,266102,3.197909,7.71
2013-11,319482,12.408959,7.32
2013-12,313079,7.886847,7.4
2014-01,280228,11.222773,7.75
2014-02,271395,4.932377,7.89
2014-03,278448,-0.525154,8.39
2014-04,302628,4.829469,9.38
2014-05,335092,19.258735,9.66
2014-06,316418,22.664506,9.16
2014-07,309522,3.293131,9.32
2014-08,323850,26.304582,9.54
2014-09,357426,11.490761,8.86
2014-10,331985,24.758551,8.96
2014-11,338614,5.988444,9.15
2014-12,411455,31.422101,8.17
2015-01,323203,15.335727,7.24
2015-02,339167,24.971720,7.55
2015-03,397957,42.919683,7.61
2015-04,398224,31.588617,7.91
2015-05,352002,5.046375,8.09
2015-06,366568,15.849288,7.2
2015-07,343015,10.820879,6.81
2015-08,355527,9.781380,7.14
2015-09,328417,-8.116086,7.95
2015-10,372382,12.168321,7.58
2015-11,397421,17.366972,8.1
2015-12,423078,2.824853,8.81
2016-01,318997,-1.301349,9.58
2016-02,364639,7.510165,8.78
2016-03,460932,15.824574,7.46
2016-04,401110,0.724718,6.57
2016-05,417190,18.519213,6.58
2016-06,410074,11.868466,7.64
2016-07,291545,-15.005175,8.79
2016-08,413565,16.324499,8.05
2016-09,348869,6.227449,7.28
2016-10,419013,12.522356,7.16
2016-11,444618,11.875819,7
2016-12,436521,3.177428,8.53
2017-01,359843,12.804509,9.22
2017-02,375010,2.844183,10.13
2017-03,466556,1.220137,11.29
2017-04,426221,6.260377,11.87
2017-05,460078,10.280208,11.72
2017-06,406256,-0.931051,10.9
2017-07,430141,47.538459,9.79
2017-08,446653,8.000677,10.68
2017-09,395744,13.436276,11.2
2017-10,489520,16.826924,11.9
2017-11,466068,4.824366,12.98
2017-12,468068,7.226915,11.92
2018-01,445255,23.735907,10.35
2018-02,419533,11.872483,10.26
2018-03,478648,2.591757,10.23
2018-04,479866,12.586194,10.85
2018-05,472478,2.695195,12.15
2018-06,443151,9.081712,15.39
2018-07,541226,25.825253,15.85
2018-08,429606,-3.816609,17.9
2018-09,438784,10.875718,24.52
2018-10,432074,-11.735169,25.24
2018-11,427626,-8.248153,21.62
2018-12,435240,-7.013511,20.3
2019-01,357926,-19.613255,20.35
2019-02,375577,-10.477364,19.67
2019-03,456674,-4.590848,19.71
2019-04,468217,-2.427553,19.5
2019-05,518368,9.712622,18.71
2019-06,399916,-9.756268,15.72
2019-07,516730,-4.526021,16.65
2019-08,444290,3.418016,15.01
2019-09,586534,33.672604,9.26
2019-10,674379,56.079514,8.55
2019-11,679150,58.818687,10.56
2019-12,749700,72.249793,11.84
2020-01,628765,75.668993,12.15
2020-02,611314,62.766623,12.37
2020-03,501921,9.907943,11.86
2020-04,231977,-50.455238,10.94
2020-05,381708,-26.363510,11.39
2020-06,773260,93.355605,12.62
2020-07,721519,39.631723,11.76
2020-08,589426,32.666952,11.77
2020-09,647573,10.406728,11.75
2020-10,583983,-13.404332,11.89
2020-11,456110,-32.841051,14.03
2020-12,349599,-53.368147,14.6
2021-01,295756,-52.962395,14.97
2021-02,316722,-48.189965,15.61
2021-03,451956,-9.954754,16.19
2021-04,405351,74.737582,17.14
2021-05,302320,-20.798097,16.59
2021-06,575336,-25.596048,17.53
2021-07,465721,-35.452705,18.95
2021-08,549004,-6.857858,19.25
2021-09,596395,-7.903047,19.58
2021-10,631072,8.063420,19.89
2021-11,813548,78.366622,21.31
2021-12,611862,75.018235,36.08
2022-01,303354,2.569010,48.69
2022-02,372156,17.502415,54.44
2022-03,503040,11.302870,61.14
2022-04,605162,49.293328,69.97
2022-05,673167,122.667042,73.5
2022-06,710088,23.421444,78.62
2022-07,429378,-7.803599,79.6
2022-08,478053,-12.923585,80.21
2022-09,476502,-20.102952,83.45
2022-10,500691,-20.660242,85.51
2022-11,580271,-28.674030,84.39
2022-12,764329,24.918527,64.27
2023-01,647852,113.563032,57.68
2023-02,492985,32.467299,55.18
2023-03,737443,46.597288,50.51
2023-04,715113,18.168854,43.68
2023-05,741828,10.199698,39.59
2023-06,583627,-17.809201,38.21
2023-07,567274,32.115292,47.83
2023-08,551474,15.358339,58.94
2023-09,474248,-0.473031,61.53
2023-10,449265,-10.271005,61.36
2023-11,452347,-22.045561,61.98
2023-12,551244,-27.878701,64.77
2024-01,530744,-18.076351,64.86
2024-02,573508,16.333763,67.07
2024-03,580492,-21.283136,68.5
2024-04,515415,-27.925377,69.8
2024-05,588886,-20.616909,75.45
2024-06,435828,-25.324222,71.6
2024-07,621748,9.602767,61.78
2024-08,613752,11.293007,51.97
2024-09,658566,38.865319,49.38
2024-10,680849,51.547305,48.58
2024-11,630035,39.281348,47.09
2024-12,673727,22.219380,44.38
2025-01,551610,3.931462,42.12
2025-02,520697,-9.208416,39.05
2025-03,555093,-4.375426,38.1
2025-04,644473,25.039628,37.86
2025-05,645718,9.650764,35.41
2025-06,559842,28.454803,35.05
2025-07,680114,9.387405,33.52
2025-08,659915,7.521442,32.95
2025-09,680684,3.358509,33.29
2025-10,666842,-2.057284,32.87
2025-11,608924,-3.350766,31.07
2025-12,798616,18.537034,30.89
2026-01,582180,5.541959,30.65
2026-02,556805,6.934551,31.53
2026-03,597104,7.568281,30.87
2026-04,605480,-6.050370,32.37
2026-05,503057,-22.093391,32.61
2026-06,608484,8.688523,32.11
2026-07,588504,-13.469801,31.75
